ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a1s3,a2s1,a2s2,a2s3,a3s1,a3s2,a3s3,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a1s3_p,a1s3_rhat,a1s3_ess_bulk,a1s3_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,a2s3_p,a2s3_rhat,a2s3_ess_bulk,a2s3_ess_tail,a3s1_p,a3s1_rhat,a3s1_ess_bulk,a3s1_ess_tail,a3s2_p,a3s2_rhat,a3s2_ess_bulk,a3s2_ess_tail,a3s3_p,a3s3_rhat,a3s3_ess_bulk,a3s3_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
K70_K76_C22,2011_2015,10,AirSVI,0.00,"7.64(6.41,8.86)","13.37(12.09,14.64)","4.43(3.33,5.53)","8.18(7.10,9.27)","11.18(10.07,12.31)","4.78(3.71,5.86)","7.84(6.78,8.87)","10.55(9.45,11.68)",0.0002,1.0005,2563,3704,0.0002,1.0009,2158,3241,0.0002,1.0002,2170,3436,0.0002,1.0017,1846,3040,0.0002,1.0009,1750,2881,0.0002,1.0016,1772,2728,0.0002,1.0020,1648,2884,0.0002,1.0034,1979,3147,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM","0.00","6.02(4.80,7.24)","10.83(9.56,12.09)","4.64(3.56,5.68)","6.89(5.79,7.98)","8.98(7.80,10.10)","6.19(5.10,7.24)","7.86(6.80,8.87)","9.42(8.27,10.51)","0.0002","1.0016",2405,3458,"0.0002","1.0013",2082,3274,"0.0002","1.0011",2089,2555,"0.0002","1.0028",1759,2815,"0.0002","1.0023",1636,2534,"0.0002","1.0021",1643,2601,"0.0002","1.0010",1481,2441,"0.0002","1.0017",1498,2273,"0.64(0.56,0.73)","0.0002","1.0009",2615,3244,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+PA","0.00","7.41(6.18,8.64)","12.57(11.20,13.86)","4.70(3.57,5.79)","8.02(6.86,9.12)","10.50(9.30,11.70)","5.34(4.24,6.44)","8.07(6.99,9.12)","10.30(9.13,11.42)","0.0002","1.0018",2045,3078,"0.0002","1.0021",1863,2164,"0.0002","1.0028",1749,2772,"0.0002","1.0034",1369,2642,"0.0002","1.0040",1444,2386,"0.0002","1.0037",1352,2205,"0.0002","1.0049",1128,2215,"0.0002","1.0040",1257,2584,"",NA,"NA",NA,NA,"-0.14(-0.21,-0.07)","0.0002","1.0024",2002,2732,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+OB","0.00","7.29(6.06,8.51)","11.97(10.64,13.30)","4.71(3.61,5.84)","8.00(6.87,9.14)","10.09(8.89,11.30)","5.72(4.61,6.85)","8.28(7.25,9.34)","10.16(9.00,11.30)","0.0002","1.0062",1392,2498,"0.0002","1.0059",1268,2248,"0.0002","1.0031",1450,2333,"0.0002","1.0065",1130,1963,"0.0002","1.0061",1072,2096,"0.0002","1.0038",1049,2013,"0.0002","1.0046",987,1769,"0.0002","1.0064",1049,1921,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.29(0.22,0.37)","0.0002","1.0037",1502,2485,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+UN","0.00","7.72(6.50,8.99)","13.52(12.21,14.83)","4.40(3.23,5.54)","8.22(7.09,9.33)","11.26(10.10,12.41)","4.70(3.58,5.81)","7.84(6.75,8.89)","10.62(9.45,11.79)","0.0002","1.0007",2492,3106,"0.0002","0.9999",2144,3093,"0.0002","1.0009",2082,2763,"0.0002","1.0006",1627,2765,"0.0002","1.0004",1520,2577,"0.0002","1.0012",1520,2538,"0.0002","1.0016",1456,2284,"0.0002","1.0014",1539,2534,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.03(-0.12,0.07)","0.5593","1.0026",1978,2617,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+PD","0.00","7.63(6.41,8.90)","13.38(12.08,14.68)","4.42(3.33,5.55)","8.18(7.02,9.36)","11.18(10.03,12.35)","4.74(3.62,5.90)","7.81(6.70,8.95)","10.53(9.32,11.76)","0.0002","1.0050",1751,3270,"0.0002","1.0035",1550,2624,"0.0002","1.0049",1440,2919,"0.0002","1.0047",1195,2143,"0.0002","1.0064",1150,2305,"0.0002","1.0058",1172,2412,"0.0002","1.0056",1129,2282,"0.0002","1.0045",1122,2643,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.7950","1.0022",5289,3900,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+DB","0.00","6.80(5.60,8.03)","9.70(8.32,11.13)","4.51(3.44,5.59)","7.22(6.10,8.34)","8.19(6.96,9.43)","4.91(3.85,5.96)","7.00(5.95,8.12)","8.06(6.89,9.23)","0.0002","1.0016",2860,3356,"0.0002","1.0028",2087,2885,"0.0002","1.0020",2468,3192,"0.0002","1.0030",2106,2223,"0.0002","1.0045",1758,3056,"0.0002","1.0020",2016,2988,"0.0002","1.0038",1744,2895,"0.0002","1.0029",1808,2908,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.22(1.00,1.44)","0.0002","1.0006",2052,3394
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA","0.00","6.07(4.82,7.31)","10.96(9.61,12.28)","4.61(3.52,5.72)","6.91(5.81,8.02)","9.10(7.93,10.31)","6.13(5.02,7.25)","7.84(6.79,8.92)","9.46(8.30,10.60)","0.0002","1.0013",1509,2713,"0.0002","1.0031",1353,2325,"0.0002","1.0005",1397,2268,"0.0002","1.0016",1200,2000,"0.0002","1.0033",1065,1964,"0.0002","1.0009",1139,2427,"0.0002","1.0017",1019,1773,"0.0002","1.0019",1032,2009,"0.66(0.57,0.74)","0.0002","1.0035",2031,2359,"0.03(-0.04,0.10)","0.4568","1.0031",1540,2341,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM+OB","0.00","6.05(4.83,7.29)","10.84(9.48,12.16)","4.67(3.55,5.72)","6.91(5.74,8.04)","9.00(7.81,10.17)","6.22(5.12,7.30)","7.88(6.81,8.90)","9.43(8.29,10.54)","0.0002","1.0016",2131,2968,"0.0002","1.0016",1798,2289,"0.0002","1.0011",1944,2913,"0.0002","0.9998",1665,2163,"0.0002","1.0015",1473,1807,"0.0002","1.0004",1550,2370,"0.0002","1.0009",1381,1858,"0.0002","1.0013",1380,1620,"0.64(0.55,0.74)","0.0002","1.0014",2981,3305,"",NA,"NA",NA,NA,"0.00(-0.09,0.09)","0.9833","1.0016",2026,2457,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM+UN","0.00","6.30(5.02,7.55)","11.24(9.95,12.56)","4.39(3.29,5.49)","6.94(5.80,8.04)","9.27(8.08,10.45)","5.81(4.73,6.93)","7.78(6.71,8.78)","9.57(8.43,10.68)","0.0002","1.0023",1788,2917,"0.0002","1.0031",1405,2373,"0.0002","1.0012",1490,2556,"0.0002","1.0023",1316,2015,"0.0002","1.0054",1177,1954,"0.0002","1.0040",1316,1722,"0.0002","1.0046",1135,1289,"0.0002","1.0046",1170,1782,"0.66(0.58,0.75)","0.0002","1.0032",2259,2969,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.15(-0.24,-0.05)","0.0027","1.0009",1949,2965,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PD","0.00","5.78(4.57,7.01)","10.55(9.23,11.82)","4.34(3.24,5.47)","6.50(5.37,7.61)","8.52(7.31,9.72)","5.60(4.47,6.72)","7.04(5.97,8.16)","8.46(7.26,9.64)","0.0002","1.0031",2069,3088,"0.0002","1.0040",1744,2712,"0.0002","1.0036",1895,3265,"0.0002","1.0049",1462,2432,"0.0002","1.0058",1342,2458,"0.0002","1.0058",1541,2305,"0.0002","1.0057",1341,2095,"0.0002","1.0047",1305,1742,"0.72(0.63,0.81)","0.0002","1.0016",2418,3247,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0016",4162,3649,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM+DB","0.00","5.65(4.44,6.89)","8.66(7.25,10.08)","4.68(3.60,5.72)","6.41(5.30,7.53)","7.24(6.02,8.50)","6.13(5.00,7.20)","7.32(6.23,8.37)","7.87(6.68,9.08)","0.0002","1.0038",1873,2965,"0.0002","1.0011",1558,2411,"0.0002","1.0006",1615,2874,"0.0002","1.0018",1374,2330,"0.0002","1.0015",1330,2219,"0.0002","1.0015",1308,2016,"0.0002","1.0015",1231,2312,"0.0002","1.0017",1256,2157,"0.57(0.48,0.65)","0.0002","1.0008",2782,3228,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.84(0.61,1.07)","0.0002","1.0023",1946,2149
"K70_K76_C22","2011_2015",10,"AirSVI+PA+OB","0.00","7.25(5.96,8.49)","11.82(10.43,13.22)","4.79(3.67,5.92)","7.98(6.85,9.12)","9.97(8.76,11.19)","5.85(4.70,6.97)","8.35(7.27,9.42)","10.13(8.97,11.26)","0.0002","1.0002",2405,2914,"0.0002","1.0002",2197,3168,"0.0002","1.0002",2278,3226,"0.0002","1.0009",1912,2882,"0.0002","1.0018",1797,2723,"0.0002","1.0004",1890,2868,"0.0002","0.9999",1740,2945,"0.0002","1.0013",1733,2819,"",NA,"NA",NA,NA,"-0.04(-0.12,0.03)","0.2789","1.0014",2131,2648,"0.28(0.20,0.36)","0.0002","1.0008",2818,3140,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+PA+UN","0.00","7.49(6.26,8.73)","12.69(11.32,14.05)","4.57(3.45,5.70)","8.01(6.89,9.11)","10.58(9.41,11.78)","5.17(3.99,6.34)","8.01(6.93,9.06)","10.32(9.19,11.46)","0.0002","1.0018",2338,3024,"0.0002","1.0011",1743,3256,"0.0002","1.0028",1876,3061,"0.0002","1.0026",1569,2486,"0.0002","1.0020",1524,2866,"0.0002","1.0014",1726,2523,"0.0002","1.0020",1442,2221,"0.0002","1.0017",1453,2920,"",NA,"NA",NA,NA,"-0.14(-0.22,-0.07)","0.0002","1.0009",1882,2708,"",NA,"NA",NA,NA,"-0.05(-0.15,0.04)","0.3022","1.0009",2291,3141,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+PA+PD","0.00","7.35(6.11,8.61)","12.45(11.09,13.82)","4.63(3.53,5.76)","7.93(6.78,9.06)","10.35(9.15,11.55)","5.18(4.06,6.32)","7.85(6.75,8.97)","10.02(8.79,11.21)","0.0002","1.0031",1542,2327,"0.0002","1.0032",1367,2648,"0.0002","1.0070",996,2291,"0.0002","1.0060",932,2333,"0.0002","1.0066",936,2259,"0.0002","1.0083",883,1993,"0.0002","1.0088",818,1674,"0.0002","1.0076",918,2262,"",NA,"NA",NA,NA,"-0.16(-0.23,-0.09)","0.0002","1.0015",1426,2487,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.1177","1.0019",4239,3690,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+PA+DB","0.00","6.84(5.61,8.04)","9.76(8.33,11.14)","4.48(3.36,5.59)","7.24(6.14,8.38)","8.24(6.97,9.49)","4.83(3.71,5.90)","6.96(5.88,8.03)","8.06(6.84,9.25)","0.0002","1.0021",1683,2965,"0.0002","1.0022",1335,2626,"0.0002","1.0023",1476,2298,"0.0002","1.0024",1240,2392,"0.0002","1.0024",1126,2079,"0.0002","1.0034",1169,2419,"0.0002","1.0028",1012,1902,"0.0002","1.0033",1054,2164,"",NA,"NA",NA,NA,"0.02(-0.05,0.10)","0.5547","1.0029",2003,2861,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.25(1.00,1.49)","0.0002","1.0023",1648,2856
"K70_K76_C22","2011_2015",10,"AirSVI+OB+UN","0.00","7.41(6.15,8.65)","12.20(10.81,13.60)","4.60(3.49,5.70)","8.02(6.89,9.16)","10.21(9.02,11.43)","5.52(4.35,6.63)","8.24(7.17,9.30)","10.23(9.06,11.39)","0.0002","1.0016",1734,2778,"0.0002","1.0031",1498,2705,"0.0002","1.0034",1493,2696,"0.0002","1.0041",1262,2210,"0.0002","1.0033",1218,2323,"0.0002","1.0033",1186,2284,"0.0002","1.0029",1106,2177,"0.0002","1.0036",1105,1987,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.30(0.22,0.37)","0.0002","1.0036",2054,2746,"-0.07(-0.16,0.03)","0.1689","1.0016",1876,2942,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+OB+PD","0.00","7.18(5.93,8.43)","11.67(10.36,13.06)","4.56(3.48,5.65)","7.80(6.69,8.95)","9.71(8.53,10.92)","5.37(4.29,6.50)","7.77(6.69,8.83)","9.46(8.31,10.66)","0.0002","1.0015",2760,3538,"0.0002","1.0007",2191,3243,"0.0002","1.0020",2331,3257,"0.0002","1.0028",1892,2954,"0.0002","1.0022",1762,2297,"0.0002","1.0021",1890,2768,"0.0002","1.0026",1669,2262,"0.0002","1.0026",1795,2636,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.36(0.28,0.44)","0.0002","1.0010",2374,3033,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","1.0006",4464,3743,"",NA,"NA",NA,NA
