ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
K70_K76_C22,2000_2005,2006_2010,5,RUCC1_EQI+SM+PA+OB,0.00,"1.56(0.67,2.45)","1.62(0.64,2.61)","2.04(0.99,3.11)","1.94(0.76,3.13)",0.0006,0.0019,0.0002,0.0002,1.0011,1.0032,1.0035,1.0031,3228,2530,2083,2190,3353,3293,2996,3158
"K70_K76_C22","2000_2005","2006_2010",5,"RUCC1_EQI_Air+SM+PA+OB","0.00","1.35(0.54,2.20)","0.80(-0.08,1.73)","1.36(0.45,2.32)","1.61(0.65,2.59)","0.0010","0.0739","0.0035","0.0015","1.0017","1.0017","1.0028","1.0025",2810,2182,2156,2202,3505,2852,3109,3027
"K70_K76_C22","2000_2005","2006_2010",5,"RUCC1_EQI_Water+SM+PA+OB","0.00","-0.64(-1.68,0.37)","0.17(-0.86,1.19)","-0.01(-1.00,0.99)","0.24(-0.82,1.32)","0.2185","0.7317","0.9946","0.6797","0.9999","1.0006","1.0004","1.0007",2154,2034,2030,1924,3011,3132,2976,2819
"K70_K76_C22","2000_2005","2006_2010",5,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.58(-0.19,1.35)","-0.01(-0.86,0.81)","-0.07(-0.98,0.85)","-0.14(-1.11,0.84)","0.1314","0.9892","0.8871","0.7725","1.0006","1.0003","1.0005","1.0010",3325,2937,2393,2372,3564,3773,3048,3209
"K70_K76_C22","2000_2005","2006_2010",5,"RUCC1_EQI_Built+SM+PA+OB","0.00","1.48(0.58,2.36)","1.95(1.05,2.85)","1.82(0.81,2.79)","2.69(1.64,3.77)","0.0027","0.0002","0.0002","0.0002","1.0025","1.0042","1.0026","1.0039",2897,2142,2100,1921,3337,3046,3004,2868
"K70_K76_C22","2000_2005","2006_2010",5,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.87(0.19,1.57)","1.47(0.71,2.25)","2.80(1.95,3.62)","3.85(2.87,4.86)","0.0102","0.0002","0.0002","0.0002","1.0013","1.0021","1.0028","1.0020",2936,2552,2150,2255,3404,3673,3291,2951
"K70_K76_C22","2000_2005","2011_2015",10,"RUCC1_EQI+SM+PA+OB","0.00","1.48(0.57,2.41)","1.86(0.87,2.85)","2.36(1.31,3.43)","2.66(1.46,3.84)","0.0027","0.0006","0.0002","0.0002","1.0025","1.0015","1.0016","1.0017",2581,1953,1762,1741,3394,2694,2646,2761
"K70_K76_C22","2000_2005","2011_2015",10,"RUCC1_EQI_Air+SM+PA+OB","0.00","2.09(1.20,2.96)","1.66(0.76,2.58)","2.43(1.50,3.39)","2.52(1.54,3.54)","0.0002","0.0002","0.0002","0.0002","1.0024","1.0010","1.0010","1.0017",2862,2168,2127,2071,3121,2978,2575,2514
"K70_K76_C22","2000_2005","2011_2015",10,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.56(-0.48,1.63)","-0.02(-1.10,1.07)","0.75(-0.29,1.80)","0.81(-0.32,1.94)","0.2989","0.9675","0.1502","0.1785","1.0011","1.0016","1.0014","1.0018",2284,2251,2106,2140,2940,3424,3062,2813
"K70_K76_C22","2000_2005","2011_2015",10,"RUCC1_EQI_Land+SM+PA+OB","0.00","0.97(0.19,1.77)","0.57(-0.28,1.41)","0.39(-0.57,1.36)","0.77(-0.30,1.81)","0.0144","0.1873","0.4389","0.1485","1.0007","1.0020","1.0013","1.0017",3168,2726,2420,2477,3986,3104,3325,3260
"K70_K76_C22","2000_2005","2011_2015",10,"RUCC1_EQI_Built+SM+PA+OB","0.00","0.54(-0.33,1.44)","1.17(0.30,2.09)","1.22(0.24,2.20)","1.86(0.79,2.91)","0.2322","0.0140","0.0123","0.0002","1.0005","1.0005","1.0011","1.0008",2862,2112,2055,1806,3477,3492,3120,3259
"K70_K76_C22","2000_2005","2011_2015",10,"RUCC1_EQI_Social+SM+PA+OB","0.00","1.15(0.46,1.85)","2.18(1.39,2.95)","3.41(2.55,4.29)","4.77(3.81,5.71)","0.0027","0.0002","0.0002","0.0002","1.0007","1.0006","1.0008","1.0007",3509,2713,2445,2322,3809,3288,3043,3303
"K70_K76_C22","2000_2005","2016_2020",15,"RUCC1_EQI+SM+PA+OB","0.00","1.29(0.33,2.22)","1.68(0.66,2.72)","1.72(0.63,2.83)","1.64(0.38,2.91)","0.0094","0.0015","0.0010","0.0119","1.0034","1.0034","1.0043","1.0035",2398,1849,1592,1773,2888,2508,1911,2520
"K70_K76_C22","2000_2005","2016_2020",15,"RUCC1_EQI_Air+SM+PA+OB","0.00","1.69(0.75,2.59)","0.75(-0.22,1.73)","1.18(0.15,2.20)","0.67(-0.44,1.76)","0.0010","0.1427","0.0294","0.2243","0.9998","1.0005","1.0015","1.0002",2528,2057,1902,1871,3457,3153,2790,2832
"K70_K76_C22","2000_2005","2016_2020",15,"RUCC1_EQI_Water+SM+PA+OB","0.00","0.99(-0.16,2.11)","0.60(-0.54,1.74)","1.35(0.23,2.51)","1.25(-0.01,2.52)","0.0898","0.2943","0.0190","0.0514","1.0013","1.0020","1.0022","1.0012",2122,2062,2019,2181,2696,3114,3057,2928
"K70_K76_C22","2000_2005","2016_2020",15,"RUCC1_EQI_Land+SM+PA+OB","0.00","1.09(0.25,1.95)","0.70(-0.25,1.63)","0.68(-0.40,1.72)","0.86(-0.28,1.99)","0.0119","0.1418","0.2047","0.1506","1.0016","1.0024","1.0032","1.0031",2801,2318,2083,2172,3395,3220,2996,3266
"K70_K76_C22","2000_2005","2016_2020",15,"RUCC1_EQI_Built+SM+PA+OB","0.00","1.47(0.49,2.38)","2.13(1.14,3.09)","2.38(1.34,3.44)","2.76(1.61,3.89)","0.0027","0.0002","0.0002","0.0002","1.0007","1.0011","1.0011","1.0006",2757,2154,1979,2002,3617,3149,2837,2800
"K70_K76_C22","2000_2005","2016_2020",15,"RUCC1_EQI_Social+SM+PA+OB","0.00","0.86(0.11,1.65)","1.91(1.07,2.78)","2.77(1.85,3.70)","4.36(3.30,5.38)","0.0281","0.0002","0.0002","0.0002","1.0001","0.9998","1.0012","1.0016",3209,2591,2404,2245,4031,3484,3669,3274
"K70_K76_C22","2000_2005","2021_2024",20,"RUCC1_EQI+SM+PA+OB","0.00","1.53(0.20,2.85)","1.93(0.50,3.44)","1.24(-0.30,2.82)","0.23(-1.49,2.04)","0.0244","0.0090","0.1144","0.8113","1.0022","1.0027","1.0035","1.0035",2253,1774,1369,1449,3092,2919,2529,2712
"K70_K76_C22","2000_2005","2021_2024",20,"RUCC1_EQI_Air+SM+PA+OB","0.00","2.43(1.10,3.82)","1.07(-0.36,2.48)","0.70(-0.76,2.18)","-0.80(-2.35,0.75)","0.0010","0.1385","0.3464","0.3043","1.0025","1.0027","1.0034","1.0036",2072,1714,1479,1575,2823,2857,2731,2704
