ICD_Code,EQI_Period,AAMR_Period,Lag,Quintile,MRR_mean,MRR_lower,MRR_upper,pct_diff,p
G30,2000_2005,2006_2010,5,Q1,1,1,1,0,NA
G30,2000_2005,2006_2010,5,Q2,1.2251,1.152,1.3056,22.5129,0.0002
G30,2000_2005,2006_2010,5,Q3,1.274,1.1965,1.3604,27.3996,0.0002
G30,2000_2005,2006_2010,5,Q4,1.3807,1.2953,1.4762,38.0743,0.0002
G30,2000_2005,2006_2010,5,Q5,1.4309,1.3374,1.5342,43.089,0.0002
"G30","2000_2005","2011_2015",10,"Q1",1.0602,0.9286,1.2068,6.0192,"0.4066"
"G30","2000_2005","2011_2015",10,"Q2",1.2464,1.108,1.4036,24.6427,"0.0007"
"G30","2000_2005","2011_2015",10,"Q3",1.285,1.1432,1.4374,28.4982,"0.0002"
"G30","2000_2005","2011_2015",10,"Q4",1.3716,1.2313,1.5341,37.1601,"0.0002"
"G30","2000_2005","2011_2015",10,"Q5",1.4321,1.2839,1.5977,43.2119,"0.0002"
"G30","2000_2005","2016_2020",15,"Q1",1.2423,1.0852,1.4091,24.2294,"0.0037"
"G30","2000_2005","2016_2020",15,"Q2",1.4501,1.2799,1.6308,45.0107,"0.0002"
"G30","2000_2005","2016_2020",15,"Q3",1.4804,1.3064,1.6676,48.0371,"0.0002"
"G30","2000_2005","2016_2020",15,"Q4",1.6088,1.4315,1.803,60.8812,"0.0002"
"G30","2000_2005","2016_2020",15,"Q5",1.7308,1.5417,1.9369,73.0792,"0.0002"
"G30","2000_2005","2006_2010",5,"Q1",1,1,1,0,NA
"G30","2000_2005","2006_2010",5,"Q2",1.2251,1.152,1.3056,22.5129,"0.0002"
"G30","2000_2005","2006_2010",5,"Q3",1.274,1.1965,1.3604,27.3996,"0.0002"
"G30","2000_2005","2006_2010",5,"Q4",1.3807,1.2953,1.4762,38.0743,"0.0002"
"G30","2000_2005","2006_2010",5,"Q5",1.4309,1.3374,1.5342,43.089,"0.0002"
"G30","2000_2005","2011_2015",10,"Q1",1.0602,0.9286,1.2068,6.0192,"0.4066"
"G30","2000_2005","2011_2015",10,"Q2",1.2464,1.108,1.4036,24.6427,"0.0007"
"G30","2000_2005","2011_2015",10,"Q3",1.285,1.1432,1.4374,28.4982,"0.0002"
"G30","2000_2005","2011_2015",10,"Q4",1.3716,1.2313,1.5341,37.1601,"0.0002"
"G30","2000_2005","2011_2015",10,"Q5",1.4321,1.2839,1.5977,43.2119,"0.0002"
"G30","2000_2005","2016_2020",15,"Q1",1.2423,1.0852,1.4091,24.2294,"0.0037"
"G30","2000_2005","2016_2020",15,"Q2",1.4501,1.2799,1.6308,45.0107,"0.0002"
"G30","2000_2005","2016_2020",15,"Q3",1.4804,1.3064,1.6676,48.0371,"0.0002"
"G30","2000_2005","2016_2020",15,"Q4",1.6088,1.4315,1.803,60.8812,"0.0002"
"G30","2000_2005","2016_2020",15,"Q5",1.7308,1.5417,1.9369,73.0792,"0.0002"
