ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail,FC,FC_p,FC_rhat,FC_ess_bulk,FC_ess_tail
I00_I99,2000_2005,2006_2010,5,EQI+SM+PA+OB+UN,"1.00(1.00,1.00)","1.05(1.04,1.06)","1.05(1.04,1.06)","1.04(1.03,1.06)","1.05(1.04,1.07)",0.0002,0.0002,0.0002,0.0002,1.0031,1.0027,1.0047,1.0029,2596,1993,1802,1640,2811,2673,2343,2395,"6.64(6.19,7.11)",0.0002,1.0021,2477,2679,"-0.57(-0.75,-0.39)",0.0002,1.0029,1182,2214,"4.05(3.65,4.44)",0.0002,1.0047,2064,2348,"-3.04(-3.43,-2.65)",0.0002,1.0026,2148,2886,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+UN","1.00(1.00,1.00)","1.06(1.04,1.07)","1.06(1.04,1.07)","1.04(1.03,1.06)","1.05(1.03,1.06)","0.0002","0.0002","0.0002","0.0002","1.0032","1.0014","1.0014","1.0013",3182,2894,2733,2804,2736,3150,3491,3193,"6.25(5.80,6.72)","0.0002","1.0001",3585,3462,"-0.36(-0.56,-0.14)","0.0015","1.0012",1635,2471,"3.76(3.36,4.13)","0.0002","1.0011",3291,3549,"-3.12(-3.52,-2.72)","0.0002","1.0028",2739,3662,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+UN","1.00(1.00,1.00)","0.99(0.98,1.00)","1.00(0.99,1.02)","1.01(0.99,1.02)","1.01(1.00,1.03)","0.1752","0.6351","0.3168","0.0977","1.0014","1.0017","1.0015","1.0009",2803,2670,2484,2567,2574,3314,3405,3383,"6.25(5.80,6.72)","0.0002","1.0001",3585,3462,"-0.36(-0.56,-0.14)","0.0015","1.0012",1635,2471,"3.76(3.36,4.13)","0.0002","1.0011",3291,3549,"-3.12(-3.52,-2.72)","0.0002","1.0028",2739,3662,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+UN","1.00(1.00,1.00)","0.99(0.98,1.00)","1.00(0.99,1.01)","1.02(1.01,1.03)","1.02(1.01,1.04)","0.2589","0.9821","0.0027","0.0040","1.0001","1.0021","1.0006","1.0000",3722,3080,2798,2871,3741,3475,3371,3478,"6.25(5.80,6.72)","0.0002","1.0001",3585,3462,"-0.36(-0.56,-0.14)","0.0015","1.0012",1635,2471,"3.76(3.36,4.13)","0.0002","1.0011",3291,3549,"-3.12(-3.52,-2.72)","0.0002","1.0028",2739,3662,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+UN","1.00(1.00,1.00)","1.04(1.03,1.06)","1.06(1.04,1.07)","1.06(1.04,1.07)","1.07(1.06,1.09)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0016","1.0032","1.0025",3492,3369,2935,2801,3356,3551,3435,3529,"6.25(5.80,6.72)","0.0002","1.0001",3585,3462,"-0.36(-0.56,-0.14)","0.0015","1.0012",1635,2471,"3.76(3.36,4.13)","0.0002","1.0011",3291,3549,"-3.12(-3.52,-2.72)","0.0002","1.0028",2739,3662,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+UN","1.00(1.00,1.00)","0.99(0.98,1.01)","0.97(0.96,0.98)","0.95(0.94,0.97)","0.94(0.92,0.95)","0.2747","0.0002","0.0002","0.0002","1.0013","1.0002","1.0010","1.0016",3330,2758,2546,2301,3846,3246,3247,2938,"6.25(5.80,6.72)","0.0002","1.0001",3585,3462,"-0.36(-0.56,-0.14)","0.0015","1.0012",1635,2471,"3.76(3.36,4.13)","0.0002","1.0011",3291,3549,"-3.12(-3.52,-2.72)","0.0002","1.0028",2739,3662,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI+SM+PA+OB+PD","1.00(1.00,1.00)","1.08(1.06,1.09)","1.08(1.07,1.10)","1.08(1.06,1.10)","1.09(1.07,1.11)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0010","1.0014","1.0032",2505,2061,2050,1893,3349,3013,3144,2849,"6.45(6.00,6.91)","0.0002","1.0018",2025,2817,"-1.18(-1.35,-1.00)","0.0002","1.0023",1406,2612,"4.12(3.73,4.50)","0.0002","1.0025",1666,2639,"",NA,"NA",NA,NA,"0.06(0.05,0.07)","0.0002","1.0000",3978,3498,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+PD","1.00(1.00,1.00)","1.08(1.07,1.10)","1.09(1.08,1.11)","1.08(1.06,1.09)","1.08(1.06,1.10)","0.0002","0.0002","0.0002","0.0002","1.0022","1.0015","1.0016","1.0016",3322,2691,2557,2463,3535,3650,3553,2953,"6.28(5.82,6.73)","0.0002","1.0003",3287,3453,"-1.05(-1.25,-0.85)","0.0002","1.0018",1937,2848,"3.70(3.31,4.09)","0.0002","1.0034",2619,3348,"",NA,"NA",NA,NA,"0.04(0.03,0.06)","0.0002","1.0003",4794,3813,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+PD","1.00(1.00,1.00)","0.98(0.97,1.00)","1.01(0.99,1.02)","1.01(0.99,1.03)","1.01(0.99,1.03)","0.0814","0.5505","0.1977","0.2585","1.0009","1.0008","1.0003","1.0006",2560,2495,2461,2428,3171,3181,3148,2414,"6.28(5.82,6.73)","0.0002","1.0003",3287,3453,"-1.05(-1.25,-0.85)","0.0002","1.0018",1937,2848,"3.70(3.31,4.09)","0.0002","1.0034",2619,3348,"",NA,"NA",NA,NA,"0.04(0.03,0.06)","0.0002","1.0003",4794,3813,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+PD","1.00(1.00,1.00)","0.99(0.97,1.00)","0.99(0.98,1.01)","1.02(1.00,1.04)","1.02(1.00,1.04)","0.0864","0.4010","0.0281","0.0219","1.0012","1.0016","1.0005","1.0011",3795,2980,2757,2734,3588,3265,3300,3867,"6.28(5.82,6.73)","0.0002","1.0003",3287,3453,"-1.05(-1.25,-0.85)","0.0002","1.0018",1937,2848,"3.70(3.31,4.09)","0.0002","1.0034",2619,3348,"",NA,"NA",NA,NA,"0.04(0.03,0.06)","0.0002","1.0003",4794,3813,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
