ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail,FC,FC_p,FC_rhat,FC_ess_bulk,FC_ess_tail
J40_J47_J60_J70_J84_D86_C34,2000_2005,2006_2010,5,EQI+SM+PA+OB+UN,0.00,"5.53(3.13,7.92)","5.02(2.54,7.54)","3.99(1.19,6.78)","5.46(2.17,8.82)",0.0002,0.0002,0.0035,0.0010,1.0018,1.0054,1.0042,1.0050,3022,2171,1697,1621,3315,3339,2833,2618,"5.13(4.85,5.43)",0.0002,1.0007,3136,3347,"-0.15(-0.28,-0.01)",0.0365,1.0030,1895,2811,"0.05(-0.20,0.31)",0.6971,1.0021,2969,3560,"-1.78(-2.07,-1.50)",0.0002,1.0021,2793,3458,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+UN","0.00","3.83(1.22,6.37)","5.69(2.98,8.42)","6.99(4.17,9.84)","7.39(4.31,10.58)","0.0040","0.0002","0.0002","0.0002","1.0006","1.0009","1.0009","1.0019",2643,2375,2125,1978,3532,3332,2829,2750,"5.05(4.76,5.35)","0.0002","1.0025",3526,3592,"-0.14(-0.29,0.02)","0.0823","1.0006",1819,3072,"-0.01(-0.27,0.25)","0.9733","1.0005",3494,3557,"-1.69(-1.97,-1.41)","0.0002","1.0023",2149,2863,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+UN","0.00","-0.47(-3.62,2.63)","2.42(-0.74,5.62)","3.90(0.68,7.07)","5.51(2.16,8.97)","0.7721","0.1398","0.0173","0.0031","1.0019","1.0011","1.0019","1.0035",1969,1570,1807,1827,2606,2626,2767,2695,"5.05(4.76,5.35)","0.0002","1.0025",3526,3592,"-0.14(-0.29,0.02)","0.0823","1.0006",1819,3072,"-0.01(-0.27,0.25)","0.9733","1.0005",3494,3557,"-1.69(-1.97,-1.41)","0.0002","1.0023",2149,2863,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+UN","0.00","-1.93(-4.26,0.30)","-1.27(-3.70,1.21)","-2.12(-4.92,0.73)","-1.24(-4.24,1.78)","0.0910","0.3072","0.1389","0.4235","1.0014","1.0008","1.0012","1.0011",3072,2741,2234,2232,3498,3528,2944,3003,"5.05(4.76,5.35)","0.0002","1.0025",3526,3592,"-0.14(-0.29,0.02)","0.0823","1.0006",1819,3072,"-0.01(-0.27,0.25)","0.9733","1.0005",3494,3557,"-1.69(-1.97,-1.41)","0.0002","1.0023",2149,2863,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+UN","0.00","2.12(-0.20,4.44)","2.67(0.38,4.99)","3.44(1.02,5.82)","3.28(0.61,5.87)","0.0731","0.0235","0.0073","0.0165","1.0001","1.0003","1.0005","1.0011",2904,2655,2603,2470,3353,3500,3368,3550,"5.05(4.76,5.35)","0.0002","1.0025",3526,3592,"-0.14(-0.29,0.02)","0.0823","1.0006",1819,3072,"-0.01(-0.27,0.25)","0.9733","1.0005",3494,3557,"-1.69(-1.97,-1.41)","0.0002","1.0023",2149,2863,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+UN","0.00","1.00(-1.40,3.38)","-2.66(-5.26,0.03)","-2.97(-5.92,0.06)","-3.65(-7.22,-0.02)","0.4301","0.0531","0.0552","0.0498","1.0005","0.9999","1.0011","1.0003",2976,2247,2049,1831,3860,3342,2757,2840,"5.05(4.76,5.35)","0.0002","1.0025",3526,3592,"-0.14(-0.29,0.02)","0.0823","1.0006",1819,3072,"-0.01(-0.27,0.25)","0.9733","1.0005",3494,3557,"-1.69(-1.97,-1.41)","0.0002","1.0023",2149,2863,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI+SM+PA+OB+PD","0.00","7.57(5.05,10.04)","8.76(6.17,11.31)","9.48(6.65,12.38)","12.29(8.99,15.48)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0017","1.0015","1.0031",3320,2461,2246,2053,3497,3514,3499,3552,"4.99(4.68,5.30)","0.0002","1.0016",3141,3562,"-0.43(-0.56,-0.29)","0.0002","1.0028",2668,3185,"0.02(-0.24,0.27)","0.9084","1.0016",2785,3248,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0010","1.0014",8965,4090,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+PD","0.00","5.85(3.21,8.46)","8.96(6.29,11.64)","10.38(7.63,13.16)","10.90(7.77,13.97)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0013","1.0019","1.0015",2963,2500,2227,2210,3196,3231,3427,2953,"5.00(4.68,5.31)","0.0002","0.9999",3349,3387,"-0.46(-0.60,-0.31)","0.0002","1.0032",2196,2791,"-0.07(-0.33,0.21)","0.5968","1.0015",3414,3169,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0173","1.0000",6790,3969,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+PD","0.00","-1.13(-4.29,1.92)","2.39(-0.80,5.42)","3.95(0.67,7.06)","4.71(1.47,7.94)","0.4826","0.1335","0.0194","0.0040","1.0010","1.0026","1.0013","1.0002",2048,1822,1851,1987,3138,3080,3062,3350,"5.00(4.68,5.31)","0.0002","0.9999",3349,3387,"-0.46(-0.60,-0.31)","0.0002","1.0032",2196,2791,"-0.07(-0.33,0.21)","0.5968","1.0015",3414,3169,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0173","1.0000",6790,3969,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+PD","0.00","-2.29(-4.62,0.06)","-1.58(-4.11,0.93)","-2.55(-5.37,0.29)","-1.60(-4.54,1.30)","0.0581","0.2277","0.0810","0.2972","1.0009","1.0010","1.0004","1.0014",2863,2608,2100,2256,3593,3359,3203,3274,"5.00(4.68,5.31)","0.0002","0.9999",3349,3387,"-0.46(-0.60,-0.31)","0.0002","1.0032",2196,2791,"-0.07(-0.33,0.21)","0.5968","1.0015",3414,3169,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0173","1.0000",6790,3969,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+PD","0.00","2.98(0.60,5.37)","3.67(1.25,6.21)","4.40(1.94,7.00)","3.49(0.63,6.33)","0.0127","0.0044","0.0006","0.0135","1.0006","1.0005","1.0005","1.0016",3473,2780,2586,2444,3664,3253,3689,3255,"5.00(4.68,5.31)","0.0002","0.9999",3349,3387,"-0.46(-0.60,-0.31)","0.0002","1.0032",2196,2791,"-0.07(-0.33,0.21)","0.5968","1.0015",3414,3169,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0173","1.0000",6790,3969,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+PD","0.00","2.21(-0.30,4.68)","-0.01(-2.60,2.71)","1.46(-1.46,4.37)","3.65(0.30,7.03)","0.0839","0.9842","0.3297","0.0331","1.0028","1.0044","1.0045","1.0047",3046,2261,2093,1872,3743,3394,3167,3072,"5.00(4.68,5.31)","0.0002","0.9999",3349,3387,"-0.46(-0.60,-0.31)","0.0002","1.0032",2196,2791,"-0.07(-0.33,0.21)","0.5968","1.0015",3414,3169,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0173","1.0000",6790,3969,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI+SM+PA+OB+DB","0.00","7.86(5.39,10.35)","9.21(6.64,11.78)","10.31(7.42,13.03)","13.30(10.07,16.32)","0.0002","0.0002","0.0002","0.0002","1.0003","1.0009","1.0004","1.0018",2991,2398,2018,1898,3516,3586,3430,3002,"4.97(4.67,5.28)","0.0002","1.0018",2800,3367,"-0.34(-0.47,-0.21)","0.0002","1.0019",2079,2880,"-0.43(-0.82,-0.05)","0.0302","1.0018",1928,2886,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.30(0.28,2.34)","0.0148","1.0013",2055,2827,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+DB","0.00","5.92(3.22,8.66)","9.10(6.27,11.80)","10.74(7.84,13.62)","11.70(8.42,14.90)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0005","1.0014","1.0006",2558,2114,1845,1706,3282,3154,2825,2435,"4.98(4.68,5.30)","0.0002","1.0004",2874,3425,"-0.42(-0.57,-0.26)","0.0002","1.0010",2036,2883,"-0.16(-0.55,0.24)","0.4360","1.0008",2209,3066,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.11(-1.03,1.22)","0.8467","1.0013",2073,2760,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+DB","0.00","-1.27(-4.37,1.76)","2.26(-0.90,5.40)","3.76(0.63,6.97)","4.57(1.15,8.01)","0.4168","0.1573","0.0206","0.0094","1.0006","1.0003","1.0009","1.0011",1796,1784,1694,1705,3059,2562,2778,2599,"4.98(4.68,5.30)","0.0002","1.0004",2874,3425,"-0.42(-0.57,-0.26)","0.0002","1.0010",2036,2883,"-0.16(-0.55,0.24)","0.4360","1.0008",2209,3066,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.11(-1.03,1.22)","0.8467","1.0013",2073,2760,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+DB","0.00","-2.31(-4.62,0.07)","-1.58(-4.02,0.85)","-2.53(-5.26,0.20)","-1.61(-4.57,1.35)","0.0589","0.1993","0.0681","0.2914","1.0003","1.0015","1.0010","1.0010",2830,2324,2151,2137,2987,3140,3097,3348,"4.98(4.68,5.30)","0.0002","1.0004",2874,3425,"-0.42(-0.57,-0.26)","0.0002","1.0010",2036,2883,"-0.16(-0.55,0.24)","0.4360","1.0008",2209,3066,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.11(-1.03,1.22)","0.8467","1.0013",2073,2760,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+DB","0.00","3.09(0.67,5.48)","3.91(1.46,6.36)","4.89(2.33,7.47)","4.62(1.80,7.47)","0.0094","0.0010","0.0015","0.0015","1.0012","1.0009","1.0001","1.0009",2866,2404,2244,2206,3209,3176,2864,2884,"4.98(4.68,5.30)","0.0002","1.0004",2874,3425,"-0.42(-0.57,-0.26)","0.0002","1.0010",2036,2883,"-0.16(-0.55,0.24)","0.4360","1.0008",2209,3066,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.11(-1.03,1.22)","0.8467","1.0013",2073,2760,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+DB","0.00","2.17(-0.41,4.66)","-0.27(-3.12,2.48)","1.16(-2.02,4.20)","3.22(-0.41,6.79)","0.1031","0.8642","0.4609","0.0835","1.0013","1.0011","1.0013","1.0033",2382,1992,1802,1677,3051,2459,2159,2057,"4.98(4.68,5.30)","0.0002","1.0004",2874,3425,"-0.42(-0.57,-0.26)","0.0002","1.0010",2036,2883,"-0.16(-0.55,0.24)","0.4360","1.0008",2209,3066,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.11(-1.03,1.22)","0.8467","1.0013",2073,2760,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI+SM+PA+OB+FC","0.00","8.32(5.79,10.75)","9.80(7.26,12.31)","11.46(8.70,14.23)","15.43(12.31,18.61)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0022","1.0027","1.0017",4355,3300,2493,2572,3808,3602,3397,3532,"4.70(4.39,5.02)","0.0002","1.0011",3899,3485,"-0.43(-0.56,-0.30)","0.0002","1.0011",2719,3654,"0.12(-0.15,0.38)","0.3772","1.0003",3568,3808,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.13(0.09,0.17)","0.0002","1.0018",4259,4186
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+FC","0.00","5.33(2.81,8.00)","8.55(5.96,11.23)","10.60(7.87,13.36)","12.12(9.14,15.15)","0.0006","0.0002","0.0002","0.0002","1.0005","1.0012","1.0017","1.0021",2859,2266,2021,1987,3517,3582,3224,3145,"4.74(4.43,5.06)","0.0002","1.0014",3299,3678,"-0.49(-0.63,-0.34)","0.0002","1.0016",1831,2310,"0.07(-0.20,0.34)","0.5926","1.0028",2856,3606,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.13(0.09,0.17)","0.0002","0.9997",3964,3576
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+FC","0.00","-2.37(-5.43,0.65)","1.19(-1.94,4.32)","3.20(0.13,6.37)","3.64(0.34,6.97)","0.1235","0.4534","0.0406","0.0335","1.0016","1.0018","1.0024","1.0013",2360,2117,1975,1857,3708,2783,2979,2779,"4.74(4.43,5.06)","0.0002","1.0014",3299,3678,"-0.49(-0.63,-0.34)","0.0002","1.0016",1831,2310,"0.07(-0.20,0.34)","0.5926","1.0028",2856,3606,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.13(0.09,0.17)","0.0002","0.9997",3964,3576
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+FC","0.00","-2.32(-4.66,0.05)","-1.18(-3.65,1.29)","-1.60(-4.36,1.08)","0.11(-2.89,3.01)","0.0548","0.3385","0.2564","0.9508","1.0031","1.0030","1.0020","1.0023",3161,2796,2480,2461,3675,3944,3476,3518,"4.74(4.43,5.06)","0.0002","1.0014",3299,3678,"-0.49(-0.63,-0.34)","0.0002","1.0016",1831,2310,"0.07(-0.20,0.34)","0.5926","1.0028",2856,3606,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.13(0.09,0.17)","0.0002","0.9997",3964,3576
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+FC","0.00","3.28(0.84,5.59)","4.47(1.99,6.85)","5.42(2.91,7.91)","5.12(2.42,7.89)","0.0073","0.0010","0.0002","0.0010","1.0011","1.0012","1.0013","1.0010",3284,2697,2398,2229,3343,3237,3347,3534,"4.74(4.43,5.06)","0.0002","1.0014",3299,3678,"-0.49(-0.63,-0.34)","0.0002","1.0016",1831,2310,"0.07(-0.20,0.34)","0.5926","1.0028",2856,3606,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.13(0.09,0.17)","0.0002","0.9997",3964,3576
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+FC","0.00","2.41(-0.04,4.90)","0.10(-2.74,2.83)","1.87(-1.06,4.87)","4.10(0.54,7.49)","0.0564","0.9475","0.2214","0.0202","1.0024","1.0048","1.0065","1.0046",2522,2061,1725,1645,3829,3493,2790,2841,"4.74(4.43,5.06)","0.0002","1.0014",3299,3678,"-0.49(-0.63,-0.34)","0.0002","1.0016",1831,2310,"0.07(-0.20,0.34)","0.5926","1.0028",2856,3606,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.13(0.09,0.17)","0.0002","0.9997",3964,3576
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI+SM+PA+OB+UN+PD+DB+FC","0.00","6.12(3.72,8.58)","5.63(3.03,8.14)","4.57(1.69,7.49)","5.56(2.11,9.11)","0.0002","0.0002","0.0010","0.0010","1.0004","1.0013","1.0015","1.0023",2410,1773,1540,1439,3418,2637,2816,2628,"4.93(4.62,5.24)","0.0002","1.0010",3073,3286,"-0.21(-0.36,-0.07)","0.0035","1.0039",1720,2688,"-0.08(-0.48,0.31)","0.6792","1.0010",2100,2470,"-1.71(-1.99,-1.43)","0.0002","1.0006",2192,3080,"0.01(0.01,0.02)","0.0006","0.9999",5914,3777,"1.42(0.36,2.47)","0.0052","1.0010",2263,2773,"0.10(0.06,0.14)","0.0002","1.0009",2931,3638
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+UN+PD+DB+FC","0.00","2.96(0.25,5.67)","4.84(2.16,7.63)","6.18(3.24,9.14)","6.37(3.02,9.77)","0.0294","0.0002","0.0002","0.0002","1.0036","1.0049","1.0051","1.0050",2045,1732,1442,1500,3171,2901,2438,2710,"4.88(4.56,5.18)","0.0002","1.0003",2902,3028,"-0.24(-0.39,-0.07)","0.0040","1.0021",1743,2502,"0.05(-0.35,0.46)","0.8000","1.0001",1987,2924,"-1.58(-1.88,-1.30)","0.0002","1.0014",1822,3025,"0.01(0.00,0.02)","0.0135","1.0008",4226,3848,"0.59(-0.56,1.76)","0.3135","1.0008",1812,2743,"0.11(0.06,0.15)","0.0002","1.0012",2803,3016
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+UN+PD+DB+FC","0.00","-1.35(-4.49,1.75)","1.74(-1.33,5.00)","3.55(0.39,6.76)","4.92(1.48,8.34)","0.3910","0.2672","0.0269","0.0060","1.0012","1.0011","1.0000","1.0011",1737,1523,1494,1475,2475,2713,2458,2225,"4.88(4.56,5.18)","0.0002","1.0003",2902,3028,"-0.24(-0.39,-0.07)","0.0040","1.0021",1743,2502,"0.05(-0.35,0.46)","0.8000","1.0001",1987,2924,"-1.58(-1.88,-1.30)","0.0002","1.0014",1822,3025,"0.01(0.00,0.02)","0.0135","1.0008",4226,3848,"0.59(-0.56,1.76)","0.3135","1.0008",1812,2743,"0.11(0.06,0.15)","0.0002","1.0012",2803,3016
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+UN+PD+DB+FC","0.00","-1.97(-4.20,0.37)","-0.96(-3.47,1.59)","-1.43(-4.20,1.36)","0.19(-2.89,3.25)","0.0960","0.4434","0.3314","0.8904","1.0006","1.0011","1.0017","1.0016",2514,1982,1742,1706,3052,3044,2886,2631,"4.88(4.56,5.18)","0.0002","1.0003",2902,3028,"-0.24(-0.39,-0.07)","0.0040","1.0021",1743,2502,"0.05(-0.35,0.46)","0.8000","1.0001",1987,2924,"-1.58(-1.88,-1.30)","0.0002","1.0014",1822,3025,"0.01(0.00,0.02)","0.0135","1.0008",4226,3848,"0.59(-0.56,1.76)","0.3135","1.0008",1812,2743,"0.11(0.06,0.15)","0.0002","1.0012",2803,3016
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+UN+PD+DB+FC","0.00","2.15(-0.27,4.42)","2.89(0.54,5.25)","3.39(1.00,5.85)","2.46(-0.35,5.29)","0.0748","0.0165","0.0060","0.0881","1.0028","1.0028","1.0034","1.0023",2697,2345,2105,2191,3676,2891,3284,2993,"4.88(4.56,5.18)","0.0002","1.0003",2902,3028,"-0.24(-0.39,-0.07)","0.0040","1.0021",1743,2502,"0.05(-0.35,0.46)","0.8000","1.0001",1987,2924,"-1.58(-1.88,-1.30)","0.0002","1.0014",1822,3025,"0.01(0.00,0.02)","0.0135","1.0008",4226,3848,"0.59(-0.56,1.76)","0.3135","1.0008",1812,2743,"0.11(0.06,0.15)","0.0002","1.0012",2803,3016
